Entrez Gene IDs	RSCE_10_BC2CTUACXX_AGTTCC_L006_R1.bam	RSCE_12_BC2CTUACXX_TGACCA_L005_R1.bam	RSCE_14_BC2CTUACXX_GTCCGC_L003_R1.bam	RSCE_16_BC2CTUACXX_AGTTCC_L004_R1.bam	RSCE_18_BC2CTUACXX_CAGATC_L003_R1.bam	RSCE_20_BC2CTUACXX_GTGAAA_L005_R1.bam	RSCE_2_BC2CTUACXX_CGATGT_L007_R1.bam	RSCE_4_BC2CTUACXX_TGACCA_L006_R1.bam	RSCE_6_BC2CTUACXX_CTTGTA_L005_R1.bam	RSCE_8_BC2CTUACXX_CCGTCC_L007_R1.bam
51195	51	34	23	32	84	99	78	53	130	80
51196	234	169	321	295	124	111	738	573	547	490
51198	0	0	0	0	0	0	0	0	0	0
51199	2361	2027	2064	2568	2429	2245	3049	2517	2641	2497
51200	211	293	166	154	4996	6165	44	18	784	922
51201	450	481	344	409	865	861	1107	1109	929	1030
51202	3634	3309	968	1492	2276	2518	2073	1723	1566	1615
51203	1965	1864	1887	2865	4332	3622	2426	2502	3580	3317
51204	447	383	225	318	209	217	451	364	681	506
51205	272	216	227	328	94	74	98	98	515	517
51206	2	2	0	1	0	1	0	2	4	4
51207	0	0	13	8	1	2	0	2	1	3
51208	2	0	0	0	0	0	0	0	0	0
51209	89	121	32	25	2	2	5	1	6	9
51213	0	0	0	0	0	0	0	0	0	0
51214	0	0	1	1	0	0	0	0	0	0
51218	1508	1429	601	903	1310	1304	992	940	1353	1229
51222	43	50	79	110	195	169	225	254	55	38
51224	0	0	0	0	0	0	0	0	0	0
51225	1	2	0	0	2	3	0	1	0	0
51226	19	26	132	163	56	56	101	82	122	141
51227	44	44	107	167	189	209	126	108	110	105
51228	816	753	739	1145	203	305	563	449	625	680
51230	1157	954	873	943	2356	2400	779	675	1074	914
51231	240	239	148	216	354	373	369	364	287	261
51232	3576	3289	5526	5847	5083	5773	12203	10040	7014	6582
51233	1	1	1	3	0	0	3	7	17	8
51234	1094	934	684	949	1190	1217	1673	1588	1494	1624
51236	424	305	186	269	528	579	510	418	323	240
51237	0	0	0	1	0	0	0	1	0	0
51239	74	73	44	65	220	267	102	102	140	109
51241	997	1101	798	993	917	960	1036	942	1566	1623
51244	210	155	136	197	423	429	297	269	308	285
51246	943	875	700	985	2475	2905	1447	1309	2092	2037
51247	676	742	775	891	853	971	804	772	733	873
51248	804	768	346	505	338	376	466	504	649	639
